"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
46,0.25,0.25,15,2,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0982848808028221,0.124879222435346,0.16443124471682,0.166485189881301,0.0982848808028221,0.124879222435346,0,0.02,1,0.16443124471682,0.166485189881301,0,0.02,1
47,0.25,0.25,15,5,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.103812309775446,0.13038613663477,0.198951549670633,0.243756376871168,0.103812309775446,0.13038613663477,0,0.02,1,0.198951549670633,0.243756376871168,0,0.02,1
48,0.25,0.25,15,10,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0926657339033087,0.118607523396709,0.241652522510248,0.322040565301693,0.0926657339033087,0.118607523396709,0,0.02,1,0.241652522510248,0.322040565301693,0,0.02,1
49,0.25,0.25,20,2,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.126407235139355,0.147889069763105,0.179552732249135,0.195892171372138,0.126407235139355,0.147889069763105,0,0.02,1,0.179552732249135,0.195892171372138,0,0.02,1
50,0.25,0.25,20,5,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.11423984718379,0.139324047056816,0.219400580617069,0.285048059119482,0.11423984718379,0.139324047056816,0,0.02,1,0.219400580617069,0.285048059119482,0,0.02,1
51,0.25,0.25,20,10,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.13060354487906,0.150472884367242,0.289405213188801,0.382223742013622,0.13060354487906,0.150472884367242,0,0.02,1,0.289405213188801,0.382223742013622,0,0.02,1
52,0.25,0.25,30,2,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.167041697378506,0.16745130147097,0.204394764334486,0.255554510532521,0.167041697378506,0.16745130147097,0,0.02,1,0.204394764334486,0.255554510532521,0,0.02,1
53,0.25,0.25,30,5,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.186855260296473,0.215076686637002,0.316997769247439,0.408733411971335,0.186855260296473,0.215076686637002,0,0.02,1,0.316997769247439,0.408733411971335,0,0.02,1
54,0.25,0.25,30,10,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.178782996737171,0.193778690917239,0.451399809422102,0.491520618227899,0.178782996737171,0.193778690917239,0,0.02,1,0.451399809422102,0.491520618227899,0,0.02,1
55,0.25,0.5,15,2,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0994480888655347,0.126088970554815,0.131547773110052,0.151031559350045,0.0994480888655347,0.126088970554815,0,0.02,1,0.131547773110052,0.151031559350045,0,0.02,1
